高校,国家优秀青年科学基金获得者,国家杰出青年科学基金获得者,杰青人数,优青人数,杰青优青总数,杰青优青比例,聚类标签,分型
上海交通大学,2,4,4,2,6,2.0,0,杰青主导型
上海交通大学医学院,1,5,5,1,6,5.0,0,杰青主导型
上海大学,0,1,1,0,1,,0,杰青主导型
上海师范大学,0,1,1,0,1,,0,杰青主导型
上海海洋大学,1,0,0,1,1,0.0,0,杰青主导型
上海纽约大学,1,0,0,1,1,0.0,0,杰青主导型
东北大学,0,4,4,0,4,,0,杰青主导型
东北林业大学,0,1,1,0,1,,0,杰青主导型
东北石油大学,0,1,1,0,1,,0,杰青主导型
东南大学,8,4,4,8,12,0.5,1,领军人才密集型
中南大学,1,1,1,1,2,1.0,0,杰青主导型
中国中医科学院,2,0,0,2,2,0.0,0,杰青主导型
中国人民大学,2,1,1,2,3,0.5,0,杰青主导型
中国人民解放军信息工程大学,0,1,1,0,1,,0,杰青主导型
中国人民解放军总参谋部测绘研究所,0,1,1,0,1,,0,杰青主导型
中国人民解放军第二军医大学,0,1,1,0,1,,0,杰青主导型
中国农业大学,0,2,2,0,2,,0,杰青主导型
中国农业科学院,6,2,2,6,8,0.3333333333333333,1,领军人才密集型
中国医学科学院,0,2,2,0,2,,0,杰青主导型
中国医学科学院北京协和医学院,0,1,1,0,1,,0,杰青主导型
中国地质大学(北京),3,2,2,3,5,0.6666666666666666,0,杰青主导型
中国地质大学(武汉),0,3,3,0,3,,0,杰青主导型
中国地质大学（北京）,3,2,2,3,5,0.6666666666666666,0,杰青主导型
中国地质大学（武汉）,0,1,1,0,1,,0,杰青主导型
中国地震局,2,0,0,2,2,0.0,0,杰青主导型
中国工程物理研究院,0,1,1,0,1,,0,杰青主导型
中国水利水电科学研究院,1,0,0,1,1,0.0,0,杰青主导型
中国水稻研究所,0,1,1,0,1,,0,杰青主导型
中国海洋大学,0,1,1,0,1,,0,杰青主导型
中国疾病预防控制中心,0,2,2,0,2,,0,杰青主导型
中国石油大学(北京),1,0,0,1,1,0.0,0,杰青主导型
中国石油大学(华东),1,0,0,1,1,0.0,0,杰青主导型
中国石油大学（北京）,1,0,0,1,1,0.0,0,杰青主导型
中国石油大学（华东）,1,0,0,1,1,0.0,0,杰青主导型
中国科学技术大学,2,2,2,2,4,1.0,0,杰青主导型
中国科学院,20,37,37,20,57,1.85,1,领军人才密集型
中国计量大学,1,0,0,1,1,0.0,0,杰青主导型
中山大学,9,4,4,9,13,0.4444444444444444,1,领军人才密集型
云南农业大学,0,1,1,0,1,,0,杰青主导型
内蒙古农业大学,0,1,1,0,1,,0,杰青主导型
内蒙古大学,0,1,1,0,1,,0,杰青主导型
