高校,人才称号,年份,总记录数,唯一姓名数,来源分布,来源数,疑似重复姓名,冲突标记
上海交通大学,国家优秀青年科学基金获得者,2025,5,3,"{""Unionpub学术"": 2, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",3,"[""刘一为"", ""曹浈萍""]",冲突
上海交通大学,国家杰出青年科学基金获得者,2025,21,12,"{""Unionpub学术"": 4, ""willnanobio.com"": 4, ""科学家之家公众号"": 9, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""颜徐州"", ""蔡子"", ""史志文"", ""蔡宇伽""]",冲突
上海交通大学医学院,国家优秀青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
上海交通大学医学院,国家杰出青年科学基金获得者,2025,5,5,"{""willnanobio.com"": 5}",1,,一致
上海大学,国家杰出青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1}",2,"[""杨绪勇""]",一致
上海师范大学,国家杰出青年科学基金获得者,2025,5,3,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""卞振华""]",冲突
上海海洋大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",3,"[""罗敏""]",冲突
上海纽约大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""孙翔""]",一致
东北大学,国家杰出青年科学基金获得者,2025,13,6,"{""Unionpub学术"": 4, ""willnanobio.com"": 2, ""科学家之家公众号"": 3, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""何本国"", ""王延庆"", ""孟凡利"", ""陈艳萍""]",冲突
东北林业大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
东北石油大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""柳波""]",一致
东南大学,国家优秀青年科学基金获得者,2025,22,8,"{""Unionpub学术"": 8, ""willnanobio.com"": 6, ""科学家之家公众号2025年优青公示"": 8}",3,"[""魏秀参"", ""吴志"", ""赵阳"", ""刘凡"", ""武军伟"", ""沈典"", ""张薇"", ""储升""]",冲突
东南大学,国家杰出青年科学基金获得者,2025,15,6,"{""Unionpub学术"": 4, ""willnanobio.com"": 3, ""科学家之家公众号"": 4, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""刘志远"", ""陈武"", ""罗桑"", ""罗雄剑""]",冲突
中南大学,国家优秀青年科学基金获得者,2025,3,3,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,,一致
中南大学,国家杰出青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""刘芳洋""]",一致
中国中医科学院,国家优秀青年科学基金获得者,2025,5,3,"{""Unionpub学术"": 2, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",3,"[""唐欢"", ""王彩霞""]",冲突
中国人民大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 2}",2,"[""王艳磊"", ""刘泽豪""]",一致
中国人民大学,国家杰出青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1}",2,"[""葛化彬""]",一致
中国人民解放军信息工程大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
中国人民解放军总参谋部测绘研究所,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
中国人民解放军第二军医大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
中国农业大学,国家杰出青年科学基金获得者,2025,20,4,"{""willnanobio.com"": 2, ""科学家之家公众号"": 18}",2,"[""张菲"", ""王春""]",冲突
中国农业科学院,国家优秀青年科学基金获得者,2025,12,7,"{""Unionpub学术"": 6, ""科学家之家公众号2025年优青公示"": 6}",2,"[""葛晓阳"", ""刘永鑫"", ""张金喆"", ""张震"", ""周琦""]",一致
中国农业科学院,国家杰出青年科学基金获得者,2025,19,7,"{""Unionpub学术"": 2, ""willnanobio.com"": 4, ""科学家之家公众号"": 11, ""科学家之家公众号2025年杰青公示"": 2}",4,"[""张春芝"", ""杨学勇"", ""张睿喆""]",冲突
中国医学科学院,国家杰出青年科学基金获得者,2025,2,2,"{""willnanobio.com"": 2}",1,,一致
中国医学科学院北京协和医学院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
中国地质大学(北京),国家优秀青年科学基金获得者,2025,3,3,"{""Unionpub学术"": 3}",1,,一致
中国地质大学(北京),国家杰出青年科学基金获得者,2025,4,3,"{""Unionpub学术"": 2, ""科学家之家公众号"": 2}",2,"[""由庆""]",一致
中国地质大学(武汉),国家杰出青年科学基金获得者,2025,5,4,"{""Unionpub学术"": 3, ""科学家之家公众号"": 2}",2,"[""赵新福""]",冲突
中国地质大学（北京）,国家优秀青年科学基金获得者,2025,3,3,"{""科学家之家公众号2025年优青公示"": 3}",1,,一致
中国地质大学（北京）,国家杰出青年科学基金获得者,2025,2,2,"{""科学家之家公众号2025年杰青公示"": 2}",1,,一致
中国地质大学（武汉）,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号2025年杰青公示"": 1}",1,,一致
中国地震局,国家优秀青年科学基金获得者,2025,5,4,"{""Unionpub学术"": 2, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",3,"[""李彦川""]",冲突
中国工程物理研究院,国家杰出青年科学基金获得者,2025,2,2,"{""Unionpub学术"": 1, ""科学家之家公众号2025年杰青公示"": 1}",2,,一致
中国水利水电科学研究院,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""邓晓雅""]",一致
中国水稻研究所,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
中国海洋大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""赵建""]",冲突
中国疾病预防控制中心,国家杰出青年科学基金获得者,2025,2,2,"{""willnanobio.com"": 2}",1,,一致
中国石油大学(北京),国家优秀青年科学基金获得者,2025,1,1,"{""Unionpub学术"": 1}",1,,一致
中国石油大学(华东),国家优秀青年科学基金获得者,2025,1,1,"{""Unionpub学术"": 1}",1,,一致
中国石油大学（北京）,国家优秀青年科学基金获得者,2025,2,2,"{""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,,一致
中国石油大学（华东）,国家优秀青年科学基金获得者,2025,2,1,"{""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""潘原""]",一致
中国科学技术大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 2}",2,"[""姚雨"", ""陆熹""]",一致
中国科学技术大学,国家杰出青年科学基金获得者,2025,12,10,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号"": 6, ""科学家之家公众号2025年杰青公示"": 2}",4,"[""卢成成"", ""徐集成""]",冲突
