高校,人才称号,年份,融合后人数,采用来源,来源优先级,冲突说明
上海交通大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
上海交通大学,国家杰出青年科学基金获得者,2025,4,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
上海交通大学医学院,国家优秀青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
上海交通大学医学院,国家杰出青年科学基金获得者,2025,5,"[""willnanobio.com""]",1,单源
上海大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
上海师范大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
上海海洋大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
上海纽约大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
东北大学,国家杰出青年科学基金获得者,2025,4,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
东北林业大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
东北石油大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
东南大学,国家优秀青年科学基金获得者,2025,8,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
东南大学,国家杰出青年科学基金获得者,2025,4,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中南大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中南大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国中医科学院,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国人民大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国人民大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国人民解放军信息工程大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
中国人民解放军总参谋部测绘研究所,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
中国人民解放军第二军医大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
中国农业大学,国家杰出青年科学基金获得者,2025,2,"[""科学家之家公众号""]",2,多源冲突已按优先级仲裁
中国农业科学院,国家优秀青年科学基金获得者,2025,6,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国农业科学院,国家杰出青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国医学科学院,国家杰出青年科学基金获得者,2025,2,"[""willnanobio.com""]",1,单源
中国医学科学院北京协和医学院,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
中国地质大学(北京),国家优秀青年科学基金获得者,2025,3,"[""Unionpub学术""]",3,单源
中国地质大学(北京),国家杰出青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国地质大学(武汉),国家杰出青年科学基金获得者,2025,3,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国地质大学（北京）,国家优秀青年科学基金获得者,2025,3,"[""科学家之家公众号2025年优青公示""]",2,单源
中国地质大学（北京）,国家杰出青年科学基金获得者,2025,2,"[""科学家之家公众号2025年杰青公示""]",2,单源
中国地质大学（武汉）,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号2025年杰青公示""]",2,单源
中国地震局,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国工程物理研究院,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国水利水电科学研究院,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国水稻研究所,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
中国海洋大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国疾病预防控制中心,国家杰出青年科学基金获得者,2025,2,"[""willnanobio.com""]",1,单源
中国石油大学(北京),国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,单源
中国石油大学(华东),国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,单源
中国石油大学（北京）,国家优秀青年科学基金获得者,2025,1,"[""科学家之家公众号2025年优青公示""]",2,多源冲突已按优先级仲裁
中国石油大学（华东）,国家优秀青年科学基金获得者,2025,1,"[""科学家之家公众号2025年优青公示""]",2,多源冲突已按优先级仲裁
中国科学技术大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国科学技术大学,国家杰出青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国科学院,国家优秀青年科学基金获得者,2025,20,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国科学院,国家杰出青年科学基金获得者,2025,37,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中国计量大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中山大学,国家优秀青年科学基金获得者,2025,9,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
中山大学,国家杰出青年科学基金获得者,2025,4,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
云南农业大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
内蒙古农业大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
内蒙古大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
