序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
1,王晓,安徽大学,具身智能研究院,安徽大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
2,陈静,安徽农业大学,植物保护学院,安徽农业大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
3,叶藤俊,北京大学,物理学院,北京大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
4,周辰,北京大学,物理学院,北京大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
5,刘肃,北京大学,汇丰商学院,北京大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
6,马婧,北京科技大学,资源与安全工程学院,北京科技大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
7,陈秋松,北京林业大学,智能林业与园林学院,北京林业大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
8,徐方林,北京林业大学,风景园林学系,北京林业大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
9,李清正,北京农林科学院,经济与工商管理学院,北京农林科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
10,田金歌,北京师范大学,计算机科学与工程学院,北京师范大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
11,魏秀参,东南大学,电气工程学院,东南大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
12,吴志,东南大学,能源与环境学院,东南大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
13,赵阳,东南大学,信息科学与工程学院,东南大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
14,刘凡,东南大学,信息科学与工程学院,东南大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
15,武军伟,东南大学,计算机科学与工程学院,东南大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
16,张薇,东南大学,医学院,东南大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
17,沈典,福建农林大学,园艺学院,福建农林大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
18,吴敏亮,复旦大学,生命科学学院,复旦大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
19,李金全,复旦大学,生命科学学院,复旦大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
20,王轲,复旦大学附属口腔医院,上海市口腔医院,复旦大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
21,杜佳慧,广东省科学院,省部共建地质调查院,广东省科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
22,时振超,广州医科大学附属第五医院,妇女儿童医疗中心,广州医科大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
23,张骞,广州中医药大学附属广州市妇女儿童医疗中心,儿科研究所,广州中医药大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
24,刘高,广州中医药大学,针灸康复临床医学院,广州中医药大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
25,李永,哈尔滨工业大学,电气工程及自动化学院,哈尔滨工业大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
26,张国强,河北大学,生命科学学院,河北大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
27,柯小龙,河北大学,生命科学学院,河北大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
28,陈苗苗,湖北大学,化学化工学院,湖北大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
29,李苗,湖北大学,机械与自动化学院,湖北大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
30,卢德芬,湖北工业大学,信息科学与工程学院,湖北工业大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
31,刘益宝,华北电力大学,电气与电子工程学院,华北电力大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
32,李东海,华中科技大学,电气与电子工程学院,华中科技大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
33,唐敏,吉林大学,药学院,吉林大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
34,卢广,中科院长春光机所,电子科学与工程学院,中国科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
35,李绍元,昆明理工大学,冶金与能源工程学院,昆明理工大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
36,谢晓辉,南昌航空大学,环境与化学工程学院,南昌航空大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
37,胡锦辉,南方医科大学,珠江医院血液内科,南方医科大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
38,汤苏安,南方医科大学,珠江医院骨科,南方医科大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
39,朱琳,南京财经大学,营销与物流管理学院,南京财经大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
