序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
1,王晓,安徽大学,具身智能研究院,安徽大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
2,田野,安徽大学,人工智能,安徽大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
3,王利近,安徽大学,材料,安徽大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
4,罗根,安徽大学,材料,安徽大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
5,陈静,安徽农业大学,植物病理系,安徽农业大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
6,唐正海,澳门大学,健康科学学院,澳门大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
7,钟俊文,澳门大学,科技学院,澳门大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
8,叶麒俊,北京大学,物理学院,北京大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
9,周辰,北京大学,物理学院,北京大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
10,刘放,北京大学,物理学院,北京大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
11,马啸,北京大学,汇丰商学院,北京大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
12,陈秋松,北京科技大学,资源与安全工程学院,北京科技大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
13,徐婧林,北京科技大学,智能科学与技术学院,北京科技大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
14,李方正,北京林业大学,风景园林系,北京林业大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
15,龚诗阳,北京师范大学,经济与工商管理学院,北京师范大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
16,魏秀参,东南大学,计算机科学与工程学院,东南大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
17,吴志,东南大学,电气工程学院,东南大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
18,赵阳,东南大学,能源与环境学院,东南大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
19,刘凡,东南大学,信息科学与工程学院,东南大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
20,武军伟,东南大学,信息科学与工程学院,东南大学,国家优秀青年科学基金获得者,2025,科学家之家公众号2025年优青公示,https://zhuanlan.zhihu.com/p/xxxxxx
