序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
1,祝梦华,澳门科技大学,月球与行星科学重点实验室,澳门科技大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
2,陈发虎,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
3,宫继成,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
4,刘思彤,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
5,陈克终,北京大学,人民医院胸外科,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
6,法王茜,北京大学,地球与空间科学学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
7,吕文晶,北京大学,药学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
8,张艳林,北京大学,物理学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
9,杨棉林,北京大学,物理学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
10,李凯,北京大学,汇丰商学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
11,钟鸣,北京大学,基础医学院,北京大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
12,金浏,北京工业大学,建筑工程学院,北京工业大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
13,熊瑞,北京理工大学,机械与车辆学院,北京理工大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
14,柴方方,北京师范大学,系统科学学院,北京师范大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
15,赵明辉,成都理工大学,地球科学学院,成都理工大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
16,杨宇明,大连理工大学,环境与生命学院,大连理工大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
17,谢宏彬,电子科技大学,集成电路学院,电子科技大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
18,王玄,电子科技大学,环境科学与工程学院,电子科技大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
19,乔国,东北大学,资源与土木工程学院,东北大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
20,何本团,东北林业大学,物理学院,东北林业大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
21,王庆庆,东北大学,工程结构动力学中心,东北大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
22,刘志远,东北石油大学,地球科学学院,东北石油大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
23,柳波,东南大学,交通学院,东南大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
24,陈武,东南大学,交通学院,东南大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
25,罗袁帆,东南大学,电子工程学院,东南大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
26,罗剑峰,福建农林大学,生命科学学院,福建农林大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
27,陈健,福州大学,健康医疗大数据研究所,福州大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
28,江飞,福州大学,数学与统计学院,福州大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
29,陈鹏鹏,复旦大学,计算机科学技术学院,复旦大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
30,邱腾腾,复旦大学,信息科学与工程学院,复旦大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
31,方明亮,复旦大学,环境科学与工程系,复旦大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
32,王文戈,复旦大学,生命科学学院,复旦大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
33,梁文华,广州医科大学,附属第一医院,广州医科大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
34,许剑亮,国家海洋局第二海洋研究所,海洋科学与工程学院,国家海洋局,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
35,张明,哈尔滨工业大学,计算机学院,哈尔滨工业大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
36,刘贤明,哈尔滨工业大学,材料科学与工程学院,哈尔滨工业大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
37,陈祖煜,哈尔滨工业大学,材料科学与工程学院,哈尔滨工业大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
38,康勇,哈尔滨医科大学,附属第一医院普外科,哈尔滨医科大学,国家杰出青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
