序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
1,李德柜,澳门大学,工商管理学院,澳门大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
2,祝梦华,澳门科技大学,月球与行星科学全国重点实验室,澳门科技大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
3,陈琦,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
4,宫继成,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
5,刘思彤,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
6,陈克终,北京大学,人民医院胸外科,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
7,法文哲,北京大学,地球与空间科学学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
8,王晶,北京大学,药学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
9,张艳席,北京大学,物理学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
10,杨学林,北京大学,物理学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
11,李凯,北京大学,汇丰商学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
12,钟超,北京大学,基础医学院,北京大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
13,金浏,北京工业大学,建筑工程学院,北京工业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
14,熊瑞,北京理工大学,机械与车辆学院,北京理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
15,樊宗芳,北京师范大学,系统科学学院,北京师范大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
16,张梦,北京航空航天大学,电子信息工程学院,北京航空航天大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
17,赵宇鵷,成都理工大学,地球与行星科学学院,成都理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
18,杨明辉,大连理工大学,环境学院,大连理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
19,谢宏彬,大连理工大学,环境学院,大连理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
20,王政,电子科技大学,集成电路学院,电子科技大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
